_time;exchange;trading_pair;strategy;type;order_id;size;price;trade_volume;fee;;Sum Trades;PnL;;PnL Net;Date
2018-06-29T01:06:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;502c6559-c2ae-4ef7-993a-da181c7a2a7a;2,66;5096,190000;13567,890000;0,000000;-2,662400;0,000000;5215,670000;-1891,620000;3324,050000;29.06.2018
2018-06-29T05:17:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;5S97FH;1,59;4944,000000;-7847,100000;-31,640000;1,587200;1,587200;5215,670000;-1923,260000;3292,410000;29.06.2018
2018-06-29T05:21:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;4c33ff94-2c57-4120-9df7-8276913519ed;1,59;4997,520000;7932,060000;0,000000;-1,587200;0,000000;5300,630000;-1923,260000;3377,370000;29.06.2018
2018-06-29T05:59:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;2ACXZ7;0,18;5011,000000;-895,000000;-3,610000;0,178600;0,178600;5300,630000;-1926,870000;3373,760000;29.06.2018
2018-06-29T05:59:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;864c44ac-d0fa-4e03-80e3-2d634ae9f689;0,18;5070,810000;905,440000;0,000000;-0,178600;0,000000;5311,070000;-1926,870000;3384,200000;29.06.2018
2018-06-29T07:49:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;QCMQCE;4,5;5026,000000;-22636,000000;-91,270000;4,503700;4,503700;5311,070000;-2018,140000;3292,930000;29.06.2018
2018-06-29T08:15:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;9f1a1dde-5c96-4968-86cd-e22c7544d303;4,5;5081,660000;22886,170000;0,000000;-4,503700;0,000000;5561,240000;-2018,140000;3543,100000;29.06.2018
2018-07-02T13:30:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;8BRDHY;2,07;5643,000000;-11664,000000;-47,030000;2,067000;2,067000;5561,240000;-2065,170000;3496,070000;02.07.2018
2018-07-02T13:30:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;cdab00d8-32b5-41cd-8be7-d7cb400fbeb4;2,07;5706,240000;11795,010000;0,000000;-2,067000;0,000000;5692,250000;-2065,170000;3627,080000;02.07.2018
2018-07-02T13:31:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;B89HAK;4,39;5643,000000;-24799,000000;-99,990000;4,394600;4,394600;5692,250000;-2165,160000;3527,090000;02.07.2018
